CNES,CO_INE,CO_CBO,MICROAREA
9069569,0002435799,515105,
9069569,0002436965,515105,
7992955,0000153656,515105,
7992955,0000154407,515105,
9701036,,782320,
9701036,,782320,
7993412,,411010,
7993412,,422105,
7993412,,422105,
7993412,,422105,
9069569,,411010,
9069569,,515105,
9069569,0000155381,515105,
9069569,0000155381,515140,
9069569,0000155411,515105,
9069569,0000155411,515140,
7958838,,411010,
9069569,0000155411,515105,
9069569,0000155411,515140,
3302032,0000155292,515140,
3302032,0000155292,515105,
3380300,,515105,
2802783,,223280,
2711974,,223208,
3006476,,515140,
3131521,0000155020,515105,
3153568,0000155160,515105,
3301990,,422105,
3301990,,516220,
3301990,,516220,
3445275,,131210,
7168403,,223505,
3505812,,516220,
3569322,0000155624,515105,
3445275,0000155438,515140,
3505812,,516220,
3862836,0002401274,515105,
3006476,0000154946,515105,
3131572,0000155039,515105,
3153568,0000155187,515105,
3302008,0000155241,515105,
3302032,0002400480,515105,
3302040,,515305,
3445275,0000155438,515105,
3938301,,516220,
0000477,,322205,
2802783,,322205,
3007995,0000154954,515140,
3153584,0000155195,515105,
3470253,,411010,
3505812,,516220,
3505812,,516220,
3505812,,516220,
3938301,,411010,
3007995,0000154954,515105,
3131572,0000155055,515105,
3131572,0000155055,515105,
3153584,0000155195,515105,
3302008,0000155276,515105,
3470253,0000155454,515105,
3562581,,411010,
3639827,0000155667,515105,
3639827,0000155667,515105,
3007995,0000154962,515105,
3302008,0000155284,515105,
3302008,0000155284,515105,
3302008,0000155284,515140,
3470253,0000155462,515105,
3562581,0000155500,515105,
3562581,0000155500,515105,
3302008,0000155284,515105,
3562581,0000155500,515105,
2802783,,325115,
2802783,,325115,
3037096,,411005,
3302008,0002400863,515105,
3302008,0002425165,515105,
7193971,,251510,
3371301,,251510,
3371301,,322205,
3371328,,422105,
3470261,,411010,
3562581,0000155527,515105,
2802783,,422105,
3153460,0000155098,515105,
3301974,0000155233,515140,
3302008,0002425165,515105,
