nu_cnes,nu_ine,quadrimestre,distrito,distrito_desc,no_unidade_saude,no_equipe,realizado_1,previsto_1,realizado_2,previsto_2,realizado_3,previsto_3,realizado_4,previsto_4,realizado_5,previsto_5,realizado_6,previsto_6,realizado_7,previsto_7
3562581,0000155527,2023.3,DS 6,Distrito Sanitário VI,Us 316 Usf Bernard van Leer,BRASILIA TEIMOSA/VAN LEE - 4,2.0,2.0,2.0,2.0,1.0,1.0,109.0,733.0,21.0,263.0,1.0,6.0,218.0,380.0
3371336,0000155357,2023.3,DS 7,Distrito Sanitário VII,Us 324 Usf Alto Jose Bonifacio,ALTO JOSE BONIFACIO III,4.0,4.0,4.0,4.0,2.0,2.0,179.0,533.0,10.0,159.0,3.0,10.0,100.0,383.0
0022187,0000153540,2023.3,DS 1,Distrito Sanitário I,Us 232 Usf Ilha Santa Terezinha,SANTA TERESINHA II,9.0,9.0,12.0,12.0,16.0,16.0,168.0,681.0,46.0,313.0,7.0,15.0,213.0,587.0
0001252,0001555553,2023.3,DS 1,Distrito Sanitário I,Us 218 Usf Coque,COQUE IV,3.0,3.0,3.0,3.0,9.0,9.0,24.0,551.0,13.0,164.0,9.0,16.0,134.0,379.0
0020648,0000153532,2023.3,DS 2,Distrito Sanitário II,Us 222 Usf Corrego do Curio,CORREGO DO CURIO,10.0,10.0,13.0,13.0,0.0,0.0,148.0,503.0,35.0,207.0,3.0,12.0,212.0,505.0
0022187,0000153559,2023.3,DS 1,Distrito Sanitário I,Us 232 Usf Ilha Santa Terezinha,SANTA TEREZINHA I,8.0,8.0,8.0,8.0,19.0,19.0,163.0,620.0,39.0,249.0,5.0,16.0,194.0,499.0
0022233,0000153648,2024.1,DS 2,Distrito Sanitário II,Us 226 Usf Chao de Estrelas,CHAO DE ESTRELA I,9.0,9.0,11.0,2.0,5.0,5.0,18.0,18.0,2.0,2.0,3.0,11.0,90.0,237.0
0002135,0000153478,2023.3,DS 2,Distrito Sanitário II,Us 221 Usf Ilha de Joaneiro,ILHA DE JOANEIRO EQUIPE II,2.0,2.0,5.0,5.0,5.0,5.0,158.0,720.0,31.0,288.0,3.0,8.0,156.0,536.0
0029106,0000154679,2023.3,DS 7,Distrito Sanitário VII,Us 283 Usf Vila Boa Vista,BOA VISTA I,5.0,5.0,4.0,4.0,13.0,13.0,137.0,638.0,36.0,212.0,2.0,11.0,144.0,489.0
0000825,0001887483,2023.3,DS 2,Distrito Sanitário II,Us 155 CS Prof Monteiro de Morais,SBM2 BEBERIBE I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
